,columns,missing values count
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,109
450,Sensor - 451,109
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,8
463,Sensor - 464,8
464,Sensor - 465,8
465,Sensor - 466,8
466,Sensor - 467,8
467,Sensor - 468,8
468,Sensor - 469,38
469,Sensor - 470,38
470,Sensor - 471,38
471,Sensor - 472,38
472,Sensor - 473,38
473,Sensor - 474,38
474,Sensor - 475,38
475,Sensor - 476,38
476,Sensor - 477,38
477,Sensor - 478,38
478,Sensor - 479,38
479,Sensor - 480,38
480,Sensor - 481,38
481,Sensor - 482,38
482,Sensor - 483,192
483,Sensor - 484,192
484,Sensor - 485,192
485,Sensor - 486,192
486,Sensor - 487,192
487,Sensor - 488,192
488,Sensor - 489,192
489,Sensor - 490,192
490,Sensor - 491,8
491,Sensor - 492,15
492,Sensor - 493,4696
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,399
497,Sensor - 498,399
498,Sensor - 499,37
499,Sensor - 500,16
500,Sensor - 501,16
501,Sensor - 502,37
502,Sensor - 503,37
503,Sensor - 504,37
504,Sensor - 505,37
505,Sensor - 506,37
506,Sensor - 507,37
507,Sensor - 508,37
508,Sensor - 509,37
509,Sensor - 510,37
510,Sensor - 511,16
511,Sensor - 512,16
512,Sensor - 513,37
513,Sensor - 514,37
514,Sensor - 515,37
515,Sensor - 516,37
516,Sensor - 517,2190
517,Sensor - 518,2190
518,Sensor - 519,2190
519,Sensor - 520,4288
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,192
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,24
529,Sensor - 530,24
530,Sensor - 531,24
531,Sensor - 532,24
532,Sensor - 533,24
533,Sensor - 534,24
534,Sensor - 535,24
535,Sensor - 536,24
536,Sensor - 537,24
537,Sensor - 538,24
538,Sensor - 539,24
539,Sensor - 540,24
540,Sensor - 541,24
541,Sensor - 542,24
542,Sensor - 543,14
543,Sensor - 544,14
544,Sensor - 545,14
545,Sensor - 546,14
546,Sensor - 547,546
547,Sensor - 548,546
548,Sensor - 549,546
549,Sensor - 550,546
550,Sensor - 551,546
551,Sensor - 552,546
552,Sensor - 553,546
553,Sensor - 554,546
554,Sensor - 555,546
555,Sensor - 556,546
556,Sensor - 557,546
557,Sensor - 558,546
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,115
563,Sensor - 564,115
564,Sensor - 565,115
565,Sensor - 566,115
566,Sensor - 567,115
567,Sensor - 568,115
568,Sensor - 569,115
569,Sensor - 570,115
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,3840
579,Sensor - 580,3840
580,Sensor - 581,3840
581,Sensor - 582,3840
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
